"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"1","ANH_103","Species richness",8,8.933,1.764,8.083,18.457,"RdN",0.789473684210526,"7°20' 20,947"" N","73°51' 13,036"" W",7.33915200024,-73.853621,"Mamiferos",1570.84550932,1444.30033367,6220.56711591,6220.56711591,1098.13401049,2342.63965633,7963.83602391,1.18567703904,1.18567703904,2734.05030653,5680.05872496,134.786884046,"PVFa","Palma",NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,21.34877336,"Kale",2342.63965633,0,1234.67315862,1442.05947306,NA,NA,NA,12,NA
"2","ANH_103","Shannon diversity",5.778,6.469,0.869,5.778,8.173,"RdN",0.789473684210526,"7°20' 20,947"" N","73°51' 13,036"" W",7.33915200024,-73.853621,"Mamiferos",1570.84550932,1444.30033367,6220.56711591,6220.56711591,1098.13401049,2342.63965633,7963.83602391,1.18567703904,1.18567703904,2734.05030653,5680.05872496,134.786884046,"PVFa","Palma",NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,21.34877336,"Kale",2342.63965633,0,1234.67315862,1442.05947306,NA,NA,NA,12,NA
"3","ANH_103","Simpson diversity",4.661,4.96,0.675,4.661,6.284,"RdN",0.789473684210526,"7°20' 20,947"" N","73°51' 13,036"" W",7.33915200024,-73.853621,"Mamiferos",1570.84550932,1444.30033367,6220.56711591,6220.56711591,1098.13401049,2342.63965633,7963.83602391,1.18567703904,1.18567703904,2734.05030653,5680.05872496,134.786884046,"PVFa","Palma",NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,21.34877336,"Kale",2342.63965633,0,1234.67315862,1442.05947306,NA,NA,NA,12,NA
"4","ANH_360","Species richness",10,13.869,4.564,10.62,34.126,"RdN",0.736842105263158,"7.3207190000000004","-73.712808999999993",7.320719,-73.712809,"Mamiferos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,NA,"Caracterizacion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANH_360","Shannon diversity",6.46,8.604,2.061,6.46,12.643,"RdN",0.736842105263158,"7.3207190000000004","-73.712808999999993",7.320719,-73.712809,"Mamiferos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,NA,"Caracterizacion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ANH_360","Simpson diversity",4.252,4.638,1.116,4.252,6.825,"RdN",0.736842105263158,"7.3207190000000004","-73.712808999999993",7.320719,-73.712809,"Mamiferos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,"Bosque Ripario",NA,NA,"Caracterizacion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ANH_64","Species richness",11,13.526,3.322,11.354,29.005,"RdN",1,"7°22' 8,407"" N","73°52' 2,287"" W",7.36900200024,-73.867302,"Mamiferos",3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,574.086251975,10835.6309135,566.848141184,566.848141184,1704.98206483,3713.38512055,1483.99869512,"PVAa","Palma",NA,NA,NA,NA,NA,NA,"Palma",NA,632.865573488,"Kale",574.086251975,0,3286.44681217,3252.41482179,NA,NA,NA,11.67,NA
"8","ANH_64","Shannon diversity",6.461,7.319,0.998,6.461,9.275,"RdN",1,"7°22' 8,407"" N","73°52' 2,287"" W",7.36900200024,-73.867302,"Mamiferos",3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,574.086251975,10835.6309135,566.848141184,566.848141184,1704.98206483,3713.38512055,1483.99869512,"PVAa","Palma",NA,NA,NA,NA,NA,NA,"Palma",NA,632.865573488,"Kale",574.086251975,0,3286.44681217,3252.41482179,NA,NA,NA,11.67,NA
"9","ANH_64","Simpson diversity",4.721,4.884,0.635,4.721,6.129,"RdN",1,"7°22' 8,407"" N","73°52' 2,287"" W",7.36900200024,-73.867302,"Mamiferos",3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,574.086251975,10835.6309135,566.848141184,566.848141184,1704.98206483,3713.38512055,1483.99869512,"PVAa","Palma",NA,NA,NA,NA,NA,NA,"Palma",NA,632.865573488,"Kale",574.086251975,0,3286.44681217,3252.41482179,NA,NA,NA,11.67,NA
"10","ANH_65","Species richness",8,10.842,4.242,8.341,31.716,"RdN",1,"7°20' 52,868"" N","73°50' 5,813"" W",7.34801900024,-73.834948,"Mamiferos",1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,1716.44805759,9735.33071143,499.409004171,499.409004171,4379.15379803,7527.02505015,1613.17213273,"PVCb2","Palma",NA,NA,NA,NA,NA,NA,"Palma",NA,192.76476812,"Kale",1716.44805759,0,2329.92047504,497.063357747,NA,NA,NA,1,NA
