"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",9,13.446,7.112,9.489,49.457,84,9,0.9646
"2","CORREDOR","Shannon diversity",5.021,5.434,0.601,5.021,6.612,84,9,0.9646
"3","CORREDOR","Simpson diversity",3.898,4.039,0.453,3.898,4.927,84,9,0.9646
"4","AGUA BONITA-PAREDES","Species richness",8,13.895,6.982,8.941,44.935,57,8,0.9307
"5","AGUA BONITA-PAREDES","Shannon diversity",3.994,4.511,0.645,3.994,5.775,57,8,0.9307
"6","AGUA BONITA-PAREDES","Simpson diversity",2.956,3.063,0.43,2.956,3.905,57,8,0.9307
"7","SOGAMOSITO-PAREDES","Species richness",17,22.964,7.185,17.932,55.157,168,17,0.9763
"8","SOGAMOSITO-PAREDES","Shannon diversity",8.774,9.399,0.874,8.774,11.113,168,17,0.9763
"9","SOGAMOSITO-PAREDES","Simpson diversity",5.554,5.709,0.654,5.554,6.99,168,17,0.9763
"10","SALADO-MAGDALENA","Species richness",9,13.449,7.116,9.489,49.477,88,9,0.9662
"11","SALADO-MAGDALENA","Shannon diversity",4.543,4.899,0.606,4.543,6.087,88,9,0.9662
"12","SALADO-MAGDALENA","Simpson diversity",3.43,3.528,0.353,3.43,4.219,88,9,0.9662
"13","CAÑO NEGRO Y AFLUENTES","Species richness",17,29.464,17.091,18.66,110.572,348,17,0.9856
"14","CAÑO NEGRO Y AFLUENTES","Shannon diversity",6.278,6.532,0.479,6.278,7.471,348,17,0.9856
"15","CAÑO NEGRO Y AFLUENTES","Simpson diversity",4.048,4.084,0.297,4.048,4.666,348,17,0.9856
"16","RIO MAGDALENA","Species richness",17,25.93,10.098,18.508,69.886,129,17,0.9537
"17","RIO MAGDALENA","Shannon diversity",9.476,10.503,1.096,9.476,12.651,129,17,0.9537
"18","RIO MAGDALENA","Simpson diversity",7.084,7.438,0.731,7.084,8.87,129,17,0.9537
"19","LA MORENA-TRECE","Species richness",15,27.438,17.057,16.657,108.384,203,15,0.9754
"20","LA MORENA-TRECE","Shannon diversity",7.176,7.641,0.612,7.176,8.841,203,15,0.9754
"21","LA MORENA-TRECE","Simpson diversity",5.583,5.713,0.367,5.583,6.433,203,15,0.9754
"22","CAÑO RAICERO","Species richness",4,4.96,2.089,4.072,16.8,25,4,0.9262
"23","CAÑO RAICERO","Shannon diversity",2.586,2.843,0.309,2.586,3.449,25,4,0.9262
"24","CAÑO RAICERO","Simpson diversity",2.24,2.362,0.294,2.24,2.938,25,4,0.9262
"25","MONTECRISTO-YARIRI","Species richness",10,10.992,2.25,10.071,23.914,126,10,0.9844
"26","MONTECRISTO-YARIRI","Shannon diversity",6.166,6.438,0.468,6.166,7.355,126,10,0.9844
"27","MONTECRISTO-YARIRI","Simpson diversity",4.562,4.696,0.54,4.562,5.755,126,10,0.9844
