"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Punto Fijo","Caracterizacion","Crotophaga ani",TRUE,1,38,9.4,NA,NA,9.4,1.6,1.2
"2","Punto Fijo","Caracterizacion","Coereba flaveola",TRUE,2,27,6.7,NA,NA,16,1.4,2.5
"3","Punto Fijo","Caracterizacion","Manacus manacus",TRUE,3,24,5.9,NA,NA,22,1.4,3.7
"4","Punto Fijo","Caracterizacion","Crotophaga major",FALSE,4,21,5.2,NA,NA,27.2,1.3,4.9
"5","Punto Fijo","Caracterizacion","Momotus subrufescens",FALSE,5,17,4.2,NA,NA,31.4,1.2,6.2
"6","Punto Fijo","Caracterizacion","Ortalis columbiana",FALSE,6,14,3.5,NA,NA,34.8,1.1,7.4
"7","Punto Fijo","Caracterizacion","Sporophila funerea",FALSE,7,14,3.5,NA,NA,38.3,1.1,8.6
"8","Punto Fijo","Caracterizacion","Rupornis magnirostris",FALSE,8,14,3.5,NA,NA,41.7,1.1,9.9
"9","Punto Fijo","Caracterizacion","Thamnophilus nigriceps",FALSE,9,14,3.5,NA,NA,45.2,1.1,11.1
"10","Punto Fijo","Caracterizacion","Campylorhynchus griseus",FALSE,10,11,2.7,NA,NA,47.9,1,12.3
"11","Punto Fijo","Caracterizacion","Milvago chimachima",FALSE,11,10,2.5,NA,NA,50.4,1,13.6
"12","Punto Fijo","Caracterizacion","Patagioenas cayennensis",FALSE,12,10,2.5,NA,NA,52.8,1,14.8
"13","Punto Fijo","Caracterizacion","Myiarchus crinitus",FALSE,13,10,2.5,NA,NA,55.3,1,16
"14","Punto Fijo","Caracterizacion","Volatinia jacarina",FALSE,14,9,2.2,NA,NA,57.5,1,17.3
"15","Punto Fijo","Caracterizacion","Setophaga castanea",FALSE,15,9,2.2,NA,NA,59.8,1,18.5
"16","Punto Fijo","Caracterizacion","Tyrannus melancholicus",FALSE,16,8,2,NA,NA,61.7,0.9,19.8
"17","Punto Fijo","Caracterizacion","Cathartes aura",FALSE,17,8,2,NA,NA,63.7,0.9,21
"18","Punto Fijo","Caracterizacion","Melanerpes rubricapillus",FALSE,18,8,2,NA,NA,65.7,0.9,22.2
"19","Punto Fijo","Caracterizacion","Poecilotriccus sylvia",FALSE,19,7,1.7,NA,NA,67.4,0.8,23.5
"20","Punto Fijo","Caracterizacion","Pitangus sulphuratus",FALSE,20,6,1.5,NA,NA,68.9,0.8,24.7
"21","Punto Fijo","Caracterizacion","Hirundo rustica",FALSE,21,6,1.5,NA,NA,70.4,0.8,25.9
"22","Punto Fijo","Caracterizacion","Catharus ustulatus",FALSE,22,5,1.2,NA,NA,71.6,0.7,27.2
"23","Punto Fijo","Caracterizacion","Pheugopedius fasciatoventris",FALSE,23,5,1.2,NA,NA,72.8,0.7,28.4
"24","Punto Fijo","Caracterizacion","Ortalis garrula",FALSE,24,4,1,NA,NA,73.8,0.6,29.6
"25","Punto Fijo","Caracterizacion","Cercomacra nigricans",FALSE,25,4,1,NA,NA,74.8,0.6,30.9
