"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",85,101.875,8.312,91.769,127.067,4,198,85,0.8951,30,20,12,23,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",74.021,87.431,3.96,79.67,95.192,4,198,85,0.8951,30,20,12,23,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",66.901,75.648,2.994,69.78,81.517,4,198,85,0.8951,30,20,12,23,0,0,0,0,0,0
"4","Bosque Denso","Species richness",28,210.25,195.75,60.743,1042.411,2,29,28,0.1332,27,1,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",27.646,210.25,70.181,72.698,347.802,2,29,28,0.1332,27,1,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",27.129,203.5,60.489,84.944,322.056,2,29,28,0.1332,27,1,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",102,129.022,12.604,113.326,166.473,20,428,102,0.9294,32,18,15,5,3,3,5,5,3,5
"8","Bosque Ripario","Shannon diversity",70.199,81.025,3.44,74.283,87.767,20,428,102,0.9294,32,18,15,5,3,3,5,5,3,5
"9","Bosque Ripario","Simpson diversity",54.617,59.386,2.405,54.673,64.099,20,428,102,0.9294,32,18,15,5,3,3,5,5,3,5
"10","Herbazal","Species richness",69,112.336,18.314,88.579,164.918,4,110,69,0.6868,43,16,5,5,0,0,0,0,0,0
"11","Herbazal","Shannon diversity",60.158,95.91,8.391,79.464,112.357,4,110,69,0.6868,43,16,5,5,0,0,0,0,0,0
"12","Herbazal","Simpson diversity",52.155,73.959,5.906,62.383,85.535,4,110,69,0.6868,43,16,5,5,0,0,0,0,0,0
"13","Palma","Species richness",84,139.538,25.244,107.753,213.861,13,248,84,0.8544,38,12,9,10,4,2,1,1,4,0
"14","Palma","Shannon diversity",59.421,77.482,5.219,67.253,87.711,13,248,84,0.8544,38,12,9,10,4,2,1,1,4,0
"15","Palma","Simpson diversity",44.893,50.473,2.881,44.893,56.118,13,248,84,0.8544,38,12,9,10,4,2,1,1,4,0
"16","Pastos","Species richness",62,102.333,17.026,80.237,151.2,3,82,62,0.6065,44,16,2,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",57.733,102.2,9.242,84.087,120.313,3,82,62,0.6065,44,16,2,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",53.365,100.97,7.889,85.507,116.433,3,82,62,0.6065,44,16,2,0,0,0,0,0,0,0
